time_s,T_fault_Nm,T_fault_over_T_nom_percent,omega_m_rad_per_s,abs_i_s_peak_A
6.841368273654732136e-03,-3.991282143489369787e+02,-3.052172518342528633e+02,1.231504320207198901e+02,3.996332576072848042e+02
6.881376275255052070e-03,-3.952849524268281129e+02,-3.022782718278938319e+02,1.231504320207198901e+02,4.004602107799195210e+02
6.921384276855372004e-03,-3.913894743205007103e+02,-2.992993615944161547e+02,1.231504320207198901e+02,4.012631502217636239e+02
6.961392278455691938e-03,-3.874428677956299794e+02,-2.962813529588775623e+02,1.231504320207198901e+02,4.020420943986752036e+02
7.001400280056011872e-03,-3.834462261723271013e+02,-2.932250819938676614e+02,1.231504320207198901e+02,4.027970630568522097e+02
7.041408281656332674e-03,-3.794006480570529334e+02,-2.901313888144993598e+02,1.231504320207198901e+02,4.035280772178684856e+02
7.081416283256652608e-03,-3.753072370747842683e+02,-2.870011173735935586e+02,1.231504320207198901e+02,4.042351591736723435e+02
7.121424284856972542e-03,-3.711671016014904581e+02,-2.838351152571019611e+02,1.231504320207198901e+02,4.049183324815479068e+02
7.161432286457292476e-03,-3.669813544969745180e+02,-2.806342334798076763e+02,1.231504320207198901e+02,4.055776219590374581e+02
7.201440288057612410e-03,-3.627511128381388517e+02,-2.773993262813508522e+02,1.231504320207198901e+02,4.062130536788262702e+02
7.241448289657932344e-03,-3.584774976527294257e+02,-2.741312509226204952e+02,1.231504320207198901e+02,4.068246549635878750e+02
7.281456291258252278e-03,-3.541616336536131371e+02,-2.708308674825537423e+02,1.231504320207198901e+02,4.074124543807904502e+02
7.321464292858573079e-03,-3.498046489736462945e+02,-2.674990386553868689e+02,1.231504320207198901e+02,4.079764817374646100e+02
7.361472294458893013e-03,-3.454076749011867378e+02,-2.641366295483992417e+02,1.231504320207198901e+02,4.085167680749295300e+02
7.401480296059212947e-03,-3.409718456163043925e+02,-2.607445074801907481e+02,1.231504320207198901e+02,4.090333456634816685e+02
7.441488297659532881e-03,-3.364982979277457389e+02,-2.573235417795358444e+02,1.231504320207198901e+02,4.095262479970420486e+02
7.481496299259852815e-03,-3.319881710107030699e+02,-2.538746035848533893e+02,1.231504320207198901e+02,4.099955097877639218e+02
7.521504300860172749e-03,-3.274426061454438468e+02,-2.503985656443337575e+02,1.231504320207198901e+02,4.104411669605999009e+02
7.561512302460493551e-03,-3.228627464568512551e+02,-2.468963021167630245e+02,1.231504320207198901e+02,4.108632566478292460e+02
7.601520304060813485e-03,-3.182497366549291655e+02,-2.433686883730846091e+02,1.231504320207198901e+02,4.112618171835444514e+02
7.641528305661133419e-03,-3.136047227763220917e+02,-2.398166007987369994e+02,1.231504320207198901e+02,4.116368880980976996e+02
7.681536307261453353e-03,-3.089288519269019844e+02,-2.362409165968073239e+02,1.231504320207198901e+02,4.119885101125067308e+02
7.721544308861773287e-03,-3.042232720254716014e+02,-2.326425135920388811e+02,1.231504320207198901e+02,4.123167251328202383e+02
7.761552310462093221e-03,-2.994891315486357257e+02,-2.290222700357316796e+02,1.231504320207198901e+02,4.126215762444431903e+02
7.801560312062413155e-03,-2.947275792768893439e+02,-2.253810644115734476e+02,1.231504320207198901e+02,4.129031077064217357e+02
7.841568313662733089e-03,-2.899397640419710456e+02,-2.217197752424384873e+02,1.231504320207198901e+02,4.131613649456876942e+02
7.881576315263053023e-03,-2.851268344755310977e+02,-2.180392808981916346e+02,1.231504320207198901e+02,4.133963945512632563e+02
7.921584316863372957e-03,-2.802899387591618847e+02,-2.143404594045338740e+02,1.231504320207198901e+02,4.136082442684248122e+02
7.961592318463694626e-03,-2.754302243758386339e+02,-2.106241882529270129e+02,1.231504320207198901e+02,4.137969629928283553e+02
8.001600320064014560e-03,-2.705488378628160717e+02,-2.068913442116310364e+02,1.231504320207198901e+02,4.139626007645932759e+02
8.041608321664334494e-03,-2.656469245660282468e+02,-2.031428031378913772e+02,1.231504320207198901e+02,4.141052087623478997e+02
8.081616323264654428e-03,-2.607256283960375640e+02,-1.993794397913106877e+02,1.231504320207198901e+02,4.142248392972349507e+02
8.121624324864974362e-03,-2.557860915855770827e+02,-1.956021276484391365e+02,1.231504320207198901e+02,4.143215458068773387e+02
8.161632326465294296e-03,-2.508294544487315534e+02,-1.918117387186177325e+02,1.231504320207198901e+02,4.143953828493058609e+02
8.201640328065614230e-03,-2.458568551418011907e+02,-1.880091433611085847e+02,1.231504320207198901e+02,4.144464060968468857e+02
8.241648329665934164e-03,-2.408694294258905302e+02,-1.841952101035440705e+02,1.231504320207198901e+02,4.144746723299720657e+02
8.281656331266254098e-03,-2.358683104312666501e+02,-1.803708054617296455e+02,1.231504320207198901e+02,4.144802394311088847e+02
8.321664332866574032e-03,-2.308546284235277426e+02,-1.765367937608302498e+02,1.231504320207198901e+02,4.144631663784138595e+02
8.361672334466893966e-03,-2.258295105716240698e+02,-1.726940369579739070e+02,1.231504320207198901e+02,4.144235132395065762e+02
8.401680336067213900e-03,-2.207940807177723741e+02,-1.688433944663029536e+02,1.231504320207198901e+02,4.143613411651671754e+02
8.441688337667533834e-03,-2.157494591493036182e+02,-1.649857229805037946e+02,1.231504320207198901e+02,4.142767123829953562e+02
8.481696339267855503e-03,-2.106967623724841019e+02,-1.611218763038456530e+02,1.231504320207198901e+02,4.141696901910326005e+02
8.521704340868175437e-03,-2.056371028883489487e+02,-1.572527051767582975e+02,1.231504320207198901e+02,4.140403389513473940e+02
8.561712342468495371e-03,-2.005715889705859354e+02,-1.533790571069775694e+02,1.231504320207198901e+02,4.138887240835837247e+02
8.601720344068815305e-03,-1.955013244455080041e+02,-1.495017762012882656e+02,1.231504320207198901e+02,4.137149120584733737e+02
8.641728345669135239e-03,-1.904274084741513207e+02,-1.456217029988924310e+02,1.231504320207198901e+02,4.135189703913121662e+02
8.681736347269455173e-03,-1.853509353365346612e+02,-1.417396743064302882e+02,1.231504320207198901e+02,4.133009676353995019e+02
8.721744348869775107e-03,-1.802729942181174181e+02,-1.378565230346825672e+02,1.231504320207198901e+02,4.130609733754448030e+02
8.761752350470095041e-03,-1.751946689984895045e+02,-1.339730780369798140e+02,1.231504320207198901e+02,4.127990582209357058e+02
8.801760352070414975e-03,-1.701170380423288861e+02,-1.300901639493453672e+02,1.231504320207198901e+02,4.125152937994744775e+02
8.841768353670734909e-03,-1.650411739926600490e+02,-1.262086010323981213e+02,1.231504320207198901e+02,4.122097527500775414e+02
8.881776355271054843e-03,-1.599681435664463152e+02,-1.223292050150400456e+02,1.231504320207198901e+02,4.118825087164431125e+02
8.921784356871374777e-03,-1.548990073525484945e+02,-1.184527869399531284e+02,1.231504320207198901e+02,4.115336363401829090e+02
8.961792358471696446e-03,-1.498348196120822422e+02,-1.145801530109307294e+02,1.231504320207198901e+02,4.111632112540223716e+02
9.001800360072016380e-03,-1.447766280812033983e+02,-1.107121044420655096e+02,1.231504320207198901e+02,4.107713100749664932e+02
9.041808361672336314e-03,-1.397254737763539651e+02,-1.068494373088192759e+02,1.231504320207198901e+02,4.103580103974341000e+02
9.081816363272656248e-03,-1.346823908019962346e+02,-1.029929424009952328e+02,1.231504320207198901e+02,4.099233907863587092e+02
9.121824364872976182e-03,-1.296484061608653917e+02,-9.914340507763641597e+01,1.231504320207198901e+02,4.094675307702583495e+02
9.161832366473296116e-03,-1.246245395667680071e+02,-9.530160512387075755e+01,1.231504320207198901e+02,4.089905108342736071e+02
9.201840368073616050e-03,-1.196118032599544421e+02,-9.146831660972468114e+01,1.231504320207198901e+02,4.084924124131739518e+02
9.241848369673935984e-03,-1.146112018250916691e+02,-8.764430775092498038e+01,1.231504320207198901e+02,4.079733178843346195e+02
9.281856371274255918e-03,-1.096237320118627139e+02,-8.383034077170962917e+01,1.231504320207198901e+02,4.074333105606816048e+02
9.321864372874575852e-03,-1.046503825582180838e+02,-8.002717176966625345e+01,1.231504320207198901e+02,4.068724746836075497e+02
9.361872374474895786e-03,-9.969213401630393889e+01,-7.623555058261784723e+01,1.231504320207198901e+02,4.062908954158576762e+02
9.401880376075215720e-03,-9.474995858109106450e+01,-7.245622065757356722e+01,1.231504320207198901e+02,4.056886588343876952e+02
9.441888377675535654e-03,-8.982481992172725427e+01,-6.868991892176228475e+01,1.231504320207198901e+02,4.050658519231905075e+02
9.481896379275857323e-03,-8.491767301563673698e+01,-6.493737565576681448e+01,1.231504320207198901e+02,4.044225625660969285e+02
9.521904380876177257e-03,-8.002946398538753670e+01,-6.119931436877472919e+01,1.231504320207198901e+02,4.037588795395475358e+02
9.561912382476497191e-03,-7.516112993834821054e+01,-5.747645167596237314e+01,1.231504320207198901e+02,4.030748925053368339e+02
9.601920384076817125e-03,-7.031359880915429983e+01,-5.376949717802737183e+01,1.231504320207198901e+02,4.023706920033304186e+02
9.641928385677137059e-03,-6.548778920500436129e+01,-5.007915334288498599e+01,1.231504320207198901e+02,4.016463694441558232e+02
9.681936387277456993e-03,-6.068461025380400287e+01,-4.640611538954239279e+01,1.231504320207198901e+02,4.009020171018661358e+02
9.721944388877776927e-03,-5.590496145517688831e+01,-4.275107117416533953e+01,1.231504320207198901e+02,4.001377281065795728e+02
9.761952390478096861e-03,-5.114973253435924505e+01,-3.911470107834981746e+01,1.231504320207198901e+02,3.993535964370910847e+02
9.801960392078416795e-03,-4.641980329899574542e+01,-3.549767789961251196e+01,1.231504320207198901e+02,3.985497169134616229e+02
9.841968393678736729e-03,-4.171604349885181762e+01,-3.190066674411140113e+01,1.231504320207198901e+02,3.977261851895812583e+02
